date,us_base,us_behavioral,us_adj_total,tw_base,tw_behavioral,tw_adj_total,divergence_base,divergence_behavioral
2014-07-18,61.144518131108136,61.277697359938884,0.1331792288307483,45.52775984245923,45.52775984245923,0.0,15.616758288648903,15.749937517479651
2014-07-21,58.77592419666585,58.77592419666585,0.0,45.591797300911566,45.591797300911566,0.0,13.184126895754282,13.184126895754282
2014-07-22,62.0401911297075,62.29391283360642,0.25372170389891835,46.90713425895842,46.90713425895842,0.0,15.13305687074908,15.386778574647998
2014-07-23,64.36005760413862,65.28648284033943,0.9264252362008136,46.90256676648353,46.90256676648353,0.0,17.457490837655087,18.3839160738559
2014-07-24,63.46734993565773,64.03881164134363,0.5714617056858984,52.633747651270326,52.633747651270326,0.0,10.833602284387403,11.405063990073302
2014-07-25,59.52351830607218,59.52351830607218,0.0,46.8039323225421,46.8039323225421,0.0,12.719585983530074,12.719585983530074
2014-07-28,59.6617323624965,59.6617323624965,0.0,47.68331991562154,47.68331991562154,0.0,11.978412446874962,11.978412446874962
2014-07-29,56.46828119444449,56.46828119444449,0.0,53.825048894044116,53.825048894044116,0.0,2.6432323004003706,2.6432323004003706
2014-07-30,56.043635852889885,56.043635852889885,0.0,50.269955870341036,50.269955870341036,0.0,5.773679982548849,5.773679982548849
2014-07-31,41.40194283399489,41.40194283399489,0.0,45.60297059506525,45.60297059506525,0.0,4.201027761070364,4.201027761070364
2014-08-01,38.71934458839428,38.71934458839428,0.0,41.86013046874029,41.86013046874029,0.0,3.1407858803460087,3.1407858803460087
2014-08-04,46.3607145776389,46.3607145776389,0.0,41.81600275568221,41.81600275568221,0.0,4.544711821956689,4.544711821956689
2014-08-05,40.246120444388005,40.246120444388005,0.0,36.569317084492845,36.569317084492845,0.0,3.6768033598951604,3.6768033598951604
2014-08-06,40.314919643393694,40.314919643393694,0.0,35.89029735528486,35.89029735528486,0.0,4.424622288108836,4.424622288108836
2014-08-07,37.55926609429054,37.55926609429054,0.0,29.736886111917766,25.13306971998182,-4.603816391935947,7.822379982372777,12.426196374308724
2014-08-08,42.83521499862135,42.83521499862135,0.0,31.425767156765282,28.822732484263966,-2.603034672501316,11.409447841856071,14.012482514357387
2014-08-11,46.25227060769022,46.25227060769022,0.0,30.948046608117174,28.161980581456618,-2.7860660266605564,15.304223999573047,18.090290026233603
2014-08-12,46.05405876064706,46.05405876064706,0.0,32.03295441047796,30.10849104393593,-1.9244633665420317,14.021104350169097,15.945567716711128
2014-08-13,50.71760775864531,50.71760775864531,0.0,33.915183003538296,33.39427530616704,-0.520907697371257,16.802424755107012,17.32333245247827
2014-08-14,56.6559228790484,56.6559228790484,0.0,35.75551611156983,35.75551611156983,0.0,20.900406767478565,20.900406767478565
2014-08-15,53.12486424870796,53.12486424870796,0.0,32.03465037635705,30.505881841827737,-1.5287685345293127,21.09021387235091,22.61898240688022
2014-08-18,58.761287883514434,58.761287883514434,0.0,32.73424860236889,31.557184114760865,-1.1770644876080283,26.02703928114554,27.20410376875357
2014-08-19,60.16945503872588,60.16945503872588,0.0,34.72638366379576,34.61422356415018,-0.11216009964557827,25.44307137493012,25.5552314745757
2014-08-20,61.67096844535284,61.67096844535284,0.0,37.473111574953535,37.473111574953535,0.0,24.197856870399306,24.197856870399306
2014-08-21,62.51783868821533,62.51783868821533,0.0,36.50340888727749,36.50340888727749,0.0,26.01442980093784,26.01442980093784
2014-08-22,62.24858239137747,62.24858239137747,0.0,42.053149659519036,42.053149659519036,0.0,20.195432731858432,20.195432731858432
2014-08-25,62.249044526833075,62.535565274240476,0.2865207474074012,37.364041916517515,37.364041916517515,0.0,24.88500261031556,25.17152335772296
2014-08-26,62.6769653503704,63.15936228571925,0.4823969353488451,38.767019973882306,38.767019973882306,0.0,23.909945376488096,24.39234231183694
2014-08-27,62.191037290951684,62.57294552719763,0.3819082362459483,48.748887077784104,48.748887077784104,0.0,13.44215021316758,13.824058449413528
2014-08-28,57.34067133177134,57.34067133177134,0.0,47.303920302418774,47.303920302418774,0.0,10.036751029352565,10.036751029352565
2014-08-29,58.45682343587215,58.45682343587215,0.0,42.69027017683609,42.69027017683609,0.0,15.766553259036066,15.766553259036066
2014-09-02,56.94699565184527,56.94699565184527,0.0,45.33433986792288,45.33433986792288,0.0,11.612655783922392,11.612655783922392
2014-09-03,54.50511794601444,54.50511794601444,0.0,45.296813729686065,45.296813729686065,0.0,9.208304216328372,9.208304216328372
2014-09-04,53.439069454920585,53.439069454920585,0.0,43.44145802389925,43.44145802389925,0.0,9.997611431021333,9.997611431021333
2014-09-05,56.636035075273504,56.636035075273504,0.0,43.09244859133867,43.09244859133867,0.0,13.543586483934831,13.543586483934831
2014-09-08,53.9311579956802,53.9311579956802,0.0,53.953727382675225,53.953727382675225,0.0,0.02256938699502342,0.02256938699502342
2014-09-09,53.975936754397196,53.975936754397196,0.0,47.66292904106759,47.66292904106759,0.0,6.313007713329604,6.313007713329604
2014-09-10,58.36174787941475,58.36174787941475,0.0,45.471312404186804,45.471312404186804,0.0,12.890435475227946,12.890435475227946
2014-09-11,56.936438322079105,56.936438322079105,0.0,43.84059506371983,43.84059506371983,0.0,13.095843258359274,13.095843258359274
2014-09-12,52.613481453443356,52.613481453443356,0.0,42.88762381390946,42.88762381390946,0.0,9.7258576395339,9.7258576395339
2014-09-15,51.086728750144545,51.086728750144545,0.0,39.261995852240965,39.261995852240965,0.0,11.82473289790358,11.82473289790358
2014-09-16,56.063426728562966,56.063426728562966,0.0,39.422166374745075,39.422166374745075,0.0,16.64126035381789,16.64126035381789
2014-09-17,57.255376206283664,57.255376206283664,0.0,44.54780699078682,44.54780699078682,0.0,12.707569215496846,12.707569215496846
2014-09-18,60.14439809049743,60.16650232271271,0.02210423221527691,43.50232198764314,43.50232198764314,0.0,16.64207610285429,16.664180335069567
2014-09-19,59.51332800741894,59.51332800741894,0.0,45.802508978385156,45.802508978385156,0.0,13.710819029033786,13.710819029033786
2014-09-22,56.56830388988102,56.56830388988102,0.0,43.16589607145993,43.16589607145993,0.0,13.40240781842109,13.40240781842109
2014-09-23,53.109644536598466,53.109644536598466,0.0,39.33304172996715,39.33304172996715,0.0,13.776602806631317,13.776602806631317
2014-09-24,60.42420160269019,60.42420160269019,0.0,40.71841170841651,40.71841170841651,0.0,19.70578989427368,19.70578989427368
2014-09-25,48.68956387191687,48.68956387191687,0.0,44.07253462740382,44.07253462740382,0.0,4.6170292445130485,4.6170292445130485
2014-09-26,54.110327937420244,54.110327937420244,0.0,41.99989814754724,41.99989814754724,0.0,12.110429789873002,12.110429789873002
2014-09-29,50.581991550010436,50.581991550010436,0.0,41.33629343480537,41.33629343480537,0.0,9.245698115205066,9.245698115205066
2014-09-30,48.995798737570276,48.995798737570276,0.0,49.62423665247496,49.62423665247496,0.0,0.628437914904687,0.628437914904687
2014-10-01,37.52326788635609,37.52326788635609,0.0,40.01640071899088,40.01640071899088,0.0,2.4931328326347924,2.4931328326347924
2014-10-02,38.68542080378374,38.68542080378374,0.0,43.74976021844558,43.74976021844558,0.0,5.064339414661838,5.064339414661838
2014-10-03,47.60679697584642,47.60679697584642,0.0,44.9139226471343,44.9139226471343,0.0,2.692874328712122,2.692874328712122
2014-10-06,44.82595072810307,44.82595072810307,0.0,40.78114258186282,40.78114258186282,0.0,4.04480814624025,4.04480814624025
2014-10-07,35.144230966366955,35.144230966366955,0.0,36.7885716293579,36.7885716293579,0.0,1.6443406629909418,1.6443406629909418
2014-10-08,46.75824140807064,46.75824140807064,0.0,35.37735371848402,35.37735371848402,0.0,11.380887689586622,11.380887689586622
2014-10-09,31.20121886858942,29.8522349837245,-1.3489838848649214,36.93370666166947,36.93370666166947,0.0,5.732487793080047,7.081471677944968
2014-10-10,29.14665306010561,26.63225940413102,-2.5143936559745903,42.174643557136875,42.174643557136875,0.0,13.027990497031265,15.542384153005855
2014-10-13,26.38513895728088,21.887939093080195,-4.4971998642006845,34.70251439039765,33.942934382129856,-0.7595800082677968,8.317375433116773,12.05499528904966
2014-10-14,25.67767892827298,21.486660549352806,-4.191018378920173,25.52858136488587,21.31668580476795,-4.21189556011792,0.14909756338710878,0.16997474458485584
2014-10-15,24.965558692254866,20.489024494533318,-4.4765341977215485,29.773070035673022,27.10919950346466,-2.663870532208364,4.807511343418156,6.620175008931341
2014-10-16,24.587457695855328,20.290909560542005,-4.296548135313323,32.47327424515572,30.679287830146166,-1.793986415009556,7.885816549300394,10.38837826960416
2014-10-17,25.956434669900666,22.647316773432188,-3.3091178964684786,34.621174021328386,32.1684240451263,-2.4527499762020852,8.66473935142772,9.521107271694113
2014-10-20,32.09897274440446,31.15950549802152,-0.939467246382943,22.57616120622683,14.774290210974778,-7.801870995252051,9.522811538177635,16.38521528704674
2014-10-21,44.39928718882878,44.39928718882878,0.0,20.614150058671363,8.663041686927025,-11.951108371744338,23.785137130157416,35.736245501901756
2014-10-22,38.362694497574466,38.362694497574466,0.0,26.42011053024831,23.4963420859444,-2.92376844430391,11.942583967326158,14.866352411630068
2014-10-23,47.16351018765507,47.16351018765507,0.0,23.43860159490834,15.880665844333327,-7.557935750575014,23.72490859274673,31.28284434332174
2014-10-24,49.79668931021227,49.79668931021227,0.0,25.19315650322624,17.47754948887435,-7.7156070143518924,24.60353280698603,32.31913982133793
2014-10-27,49.94055747214058,49.94055747214058,0.0,24.80711960531793,16.44858426753016,-8.358535337787771,25.133437866822653,33.491973204610424
2014-10-28,57.470286363012676,57.470286363012676,0.0,30.504304525527505,29.13893186089799,-1.3653726646295148,26.96598183748517,28.331354502114685
2014-10-29,59.50861399654709,59.50861399654709,0.0,37.49486004255106,37.49486004255106,0.0,22.01375395399603,22.01375395399603
2014-10-30,63.746831246195065,64.75880043894443,1.011969192749369,35.5597869331664,35.5597869331664,0.0,28.187044313028665,29.199013505778034
2014-10-31,67.40468243361394,69.21159896554053,1.8069165319265892,39.642752163325774,39.642752163325774,0.0,27.76193027028817,29.568846802214757
2014-11-03,66.7453773453886,68.5594845391567,1.8141071937680948,40.83943571889442,40.83943571889442,0.0,25.905941626494183,27.720048820262278
2014-11-04,67.0038544473783,69.76045674079457,2.7566022934162646,36.3907975757071,36.3907975757071,0.0,30.613056871671205,33.36965916508747
2014-11-05,68.28317885295989,70.51835520593934,2.235176352979451,36.584315816148035,36.584315816148035,0.0,31.698863036811858,33.93403938979131
