date,tw_margin_change_20d,tw_margin_zscore,tw_foreign_flow_20d,tw_foreign_flow_zscore
2020-04-21,0.08821325200509533,-2.3034492840029954,-42791948186.0,-2.205471368599181
2020-04-22,0.11901224272177702,-2.1345910311372704,-30400664910.0,-0.16542083363600074
2020-04-23,-0.2380514307214766,-2.024514364185475,-39469641798.0,-0.20139248485533773
2020-04-24,0.1534860330104313,-1.9232725027555755,-42836969931.0,-0.3818162802609777
2020-04-27,0.16248846459090838,-1.8691758368390372,-34557284472.0,1.8150822368673838
2020-04-28,0.15243401861179362,-1.8711147131417663,-26496431824.0,0.01083543054878454
2020-04-29,0.1368221993656582,-1.859423411725218,-3618797753.0,1.9186464453257612
2020-04-30,0.13678276958137858,-1.8259100811881128,20783613579.0,1.95233502645459
2020-05-04,0.1590188577055105,-1.6515290881983595,-11472377059.0,-3.316243889915441
2020-05-05,0.16488316868542774,-1.491510950790557,-26005160218.0,-0.98927760529449
2020-05-06,0.1623318409074841,-1.4860207727986663,-34674138149.0,-0.3160421580758163
2020-05-07,0.16526808288999462,-1.3762992177228388,-36717780908.0,0.01125589790217436
2020-05-08,0.15864616984617252,-1.3361251124753926,-33632997531.0,-0.20313469826051678
2020-05-11,0.15726744107749657,-1.2812800074508144,-30785845055.0,0.4458780827871306
2020-05-12,0.16048996642191038,-1.1826163767294924,-48289473482.0,-2.15587656706086
2020-05-13,0.15548763071540805,-1.1480127652090313,-68171726639.0,-0.25477328667550575
2020-05-14,0.13633465668900446,-1.2235640952677787,-83353151973.0,-1.5573647941441404
2020-05-15,0.1195879602480534,-1.2220038433352192,-72818809234.0,0.02161038752066102
2020-05-18,0.13839701933600534,-1.152509611636713,-109118227294.0,-1.2784985779888647
2020-05-19,0.12814480667696748,-1.0987696891470353,-104980755948.0,0.6316294439420098
2020-05-20,0.12965479574329164,-1.0370853770888782,-76344871927.0,0.6031159808193778
2020-05-21,0.11969789947358223,-0.9590475799079048,-71914916380.0,0.28028013772600535
2020-05-22,0.11056551901076861,-0.9335148089513322,-97189327905.0,-2.4856849580906766
2020-05-25,0.11102941218759965,-0.8446502442748989,-96078536394.0,-0.22537197616384536
2020-05-26,0.10629730887469169,-0.8416745934344767,-98788690926.0,1.4883181813350157
2020-05-27,0.1080475469402975,-0.8482103222169344,-96796058132.0,0.21285199336016647
2020-05-28,0.10727946179660464,-0.8593018153808264,-122080013319.0,-0.48944220943139705
2020-05-29,0.11420005862967786,-0.7904015005699073,-151714056004.0,-0.8383610261196311
2020-06-01,0.09124024315948409,-0.7930410402930109,-99322982564.0,1.587511893575062
2020-06-02,0.07193051389840854,-0.7855695626123326,-85205767786.0,0.32711001322074207
2020-06-03,0.08074919905542677,-0.7232164361154465,-62279916059.0,1.768991433019603
2020-06-04,0.07153347529364096,-0.6903804387034262,-55984145346.0,0.5616830209714067
2020-06-05,0.07252520958265518,-0.6504375390486695,-44820256628.0,0.7910724259117704
2020-06-08,0.0636149557205612,-0.6714420967169795,-37981069660.0,1.0210200552530044
2020-06-09,0.05098454266433272,-0.67620227801971,-6059939645.0,0.7583907259668407
2020-06-10,0.05210300210862662,-0.6385043358001494,8931384516.0,1.0604357360498375
2020-06-11,0.04758767096771699,-0.7573090330859472,28025253965.0,0.14924015100807717
2020-06-12,0.05167688567175288,-0.7307942776740161,32894695490.0,0.39634100627519614
2020-06-15,0.050374614188831046,-0.6758831018985685,33147889254.0,-1.2842279870231834
2020-06-16,0.049233279621818005,-0.6354281247435746,46839642408.0,1.778925535666899
2020-06-17,0.0545764621051783,-0.535198798488644,46238832442.0,0.4653403685915425
2020-06-18,0.05562418316877915,-0.4511545207929741,47512197504.0,0.3252312566907191
2020-06-19,0.06503526170513863,-0.35421721184694266,66377724085.0,-0.7918937384496602
